ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
HILLSDALE AVENUE PARK,Park,,43.7041601048466,-79.396703272605
LOVE PARK,Park,Dog Off-Leash Area,43.6406938196058,-79.3798155002312
JOSEPH TOUGH PARK,Park,,43.6747128251075,-79.3978367133261
COLONEL SAMUEL SMITH PARK,Park,"Dog Off-Leash Area, Outdoor Track, Playground",43.5932049049272,-79.5135835086796
RING ROAD LINEAR PARK,Park,,43.7700867332933,-79.4108165909455
BANBURY PARK,Park,"Pickleball Court, Playground, Tennis Court",43.7427740008615,-79.3698734945276
CAROLINE HUEBNER PARKETTE,Park,Playground,43.6648646617641,-79.3451053993281
SEATON PARK,Park,,43.6659016673499,-79.4105764971305
ROUNDHOUSE PARK,Park,Playground,43.6410757356875,-79.3853958821948
KENWAY PARK,Park,Playground,43.643703907415,-79.5260762299615
IRENE AVENUE PARKETTE,Park,Playground,43.6628779256558,-79.4239545902415
DOUGLAS B. FORD PARK,Park,Playground,43.6927426934588,-79.529690096872
EARLSCOURT PARK,Park,"Ball Diamond, Basketball Court, Dog Off-Leash Area, Outdoor Fitness Equipment, Outdoor Track, Pickleball Court, Picnic Site, Playground, Sports Field, Tennis Court, Washroom",43.6736233946801,-79.4515037424062
DE GRASSI ST PARKETTE,Park,Playground,43.6630640200863,-79.3467983106305
WOBURN PARK - SCARBOROUGH,Park,"Basketball Court, Outdoor Dry Pad",43.7814853929352,-79.2276560142691
GATEWAY GREENBELT,Park,,43.7096585332703,-79.331765283238
OATES PARK,Park,"Playground, Sports Field",43.7042623800705,-79.2742630893229
OLD FOREST HILL PARKETTE,Park,,43.6968215161912,-79.4129445053387
OAK STREET PARK,Park,"Basketball Court, Playground",43.6621592729149,-79.3581281752521
HURON STREET PLAYGROUND,Park,"Dog Off-Leash Area, Playground",43.6693203101149,-79.4018533126061
GECO PARK,Park,Playground,43.7182774827769,-79.2790603437528
ADELAIDE PLACE PARKETTE,Park,,43.6450009615612,-79.4018051802759
JIM MCPHERSON PARK,Park,"Playground, Sports Field",43.7123787388774,-79.2962235644292
CHATER COURT PARK,Park,Playground,43.7141502185912,-79.4361043062276
PARKVIEW GARDENS,Park,,43.7049579937148,-79.3149130560146
REGENT PARK,Park,"Dog Off-Leash Area, Playground, Washroom",43.6610116986645,-79.3622254607085
JAY MACPHERSON GREEN,Park,,43.6773383600411,-79.3972574340624
MEMORIAL PARK - NORTH YORK,Park,"Ball Diamond, Outdoor Track, Sports Field",43.7048827041394,-79.4210004628326
RIVERDALE PARK WEST,Park,"Ball Diamond, Dog Off-Leash Area, Picnic Site, Washroom",43.6664382199104,-79.3596806778075
ST. PATRICKS SQUARE,Park,,43.6506929777232,-79.3906531989819
COURTHOUSE SQUARE PARK,Park,,43.6504672936036,-79.3754637853063
167 ARMOUR BLVD PARKETTE,Park,Playground,43.7428997742968,-79.430948853427
RIDGE PARK,Park,"Playground, Sports Field",43.7215156130855,-79.492419296362
DON MILLS TRAIL,Park,,43.7478115812327,-79.3523465794418
BELLAMY PARK,Park,Playground,43.740291034689,-79.2285798957222
MONTGOMERY SQUARE PARK,Park,,43.709325060508,-79.3991210589084
BESSBOROUGH PARKETTE,Park,,43.7117905983591,-79.3745552086688
JOSHUA GLOVER PARK,Park,"Outdoor Fitness Equipment, Playground",43.6606760680814,-79.513176783851
MANOR PARK,Park,,43.7686643291242,-79.3593537836493
NEIL MCLELLAN PARK,Park,Playground,43.6514988017246,-79.4771619698206
PAPERBIRCH WALKWAY,Park,,43.7349022800591,-79.3499138432309
THISTLETOWN PARK,Park,,43.7363129081321,-79.5681486701243
LOUIS MARCH PARK,Park,"Dog Off-Leash Area, Playground",43.6583271874547,-79.3587483418457
MOOREGATE PARK,Park,Playground,43.7408322203292,-79.2687074230911
DERRYDOWNS PARK,Park,"Firepit, Washroom",43.7524915808451,-79.5096107189353
