ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
CUMMER PARKETTE,Park,,43.8014062384492,-79.3716391116023
LEE CENTRE PARK,Park,Playground,43.7810139282241,-79.2465965054541
YORKDALE PARK,Park,,43.7241128519837,-79.4483626400626
VALLEYFIELD PARK,Park,"Pickleball Court, Washroom",43.6947118434588,-79.5334381166616
MIMICO WATERFRONT PARK,Park,Playground,43.6109983099511,-79.4870564766836
ANETA CIRCLE PARKETTE,Park,Playground,43.7947681878077,-79.404336591132
MUIRLANDS PARK,Park,"Ball Diamond, Playground, Sports Field",43.8228757918161,-79.2686963839904
L'AMOREAUX NORTH PARK,Park,"Ball Diamond, Basketball Court, Dog Off-Leash Area, Sports Field, Washroom",43.8128853417102,-79.3069867837326
VALECREST PARK,Park,,43.6725494719194,-79.5204407906591
BOWAN COURT PARKETTE,Park,Playground,43.79565068056,-79.3925018862142
PINTO PARK,Park,"Ball Diamond, Playground",43.7909042043045,-79.3396981401966
GIDEON PARKETTE,Park,,43.7968098184165,-79.3624732159649
60 BROADWAY AVE PARK,Park,,43.710394752491,-79.3957695659249
SANTA CHIARA PARKETTE - ANNE MARIE D'AMICO SQUARE,Park,,43.678652966986,-79.4412107607539
LION'S GATE PARK,Park,,43.6809092920668,-79.5419292936092
IROQUOIS PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",43.8037477117149,-79.2673200754292
BRIARCREST PARK,Park,Playground,43.6662882463759,-79.5819186376963
COLLINGSBROOK PARKETTE,Park,,43.7918130744378,-79.3178851018276
NORTH BRIDLEWOOD PARK,Park,"Ball Diamond, Playground",43.7910155821024,-79.3197014092593
WIDDICOMBE HILL PARK,Park,,43.6791470064874,-79.5495324429832
SHALLMAR PARKETTE,Park,,43.7038332051353,-79.4238051800001
PICASSO PARK,Park,,43.8019076031862,-79.1791296193011
BERNER TRAIL PARK,Park,Playground,43.8010734461624,-79.2234917611425
SAWLEY BANSTOCK GREENBELT,Park,,43.7888071314701,-79.3839216956038
LAREDO PARK,Park,,43.7859192044002,-79.3967552570978
ANCONA PARK,Park,"Ball Diamond, Playground",43.7764426155268,-79.4382038139653
SCARLETT HEIGHTS PARK,Park,Playground,43.6827443098667,-79.5120150163838
MORRISH PARKETTE,Park,,43.7821844861884,-79.1707583432367
TOTTENHAM PARKETTE,Park,,43.7309282051197,-79.3542430842371
GREEN MEADOWS PARK - NORTH YORK,Park,,43.7872055644979,-79.3660534863784
KING/QUEEN TRIANGLE,Park,,43.6572832299407,-79.3559645564358
RIVERSIDE COMMON PARK,Park,,43.6582072399673,-79.3516596784655
CANDLEBROOK CRESCENT PARK,Park,,43.8028671716099,-79.3246494741105
HORSHAM PARKETTE,Park,,43.7725314926267,-79.4227947444059
MAPLEHURST PARK,Park,Playground,43.7656733187647,-79.3981058325133
ELLERSLIE PARK,Park,Playground,43.7652146101867,-79.4396031736281
STEPHEN LEACOCK PARK,Park,"Ball Diamond, Basketball Court, Outdoor Dry Pad, Playground, Tennis Court",43.7872164778617,-79.3024857076659
HUBBARD PARK,Park,,43.6655278787344,-79.3538755640365
GUSTAV PARKETTE,Park,,43.7888709217913,-79.3960493490991
MOORE PARK,Park,"Playground, Sports Field, Tennis Court",43.7915790231191,-79.4353438289312
GOULDING PARK,Park,"Ball Diamond, Outdoor Ping Pong/Table Tennis, Playground, Tennis Court",43.7908731505349,-79.4223942088165
CENTRE PARK,Park,"Ball Diamond, Playground",43.7913820390814,-79.4168647795626
CANADIAN UKRAINIAN MEMORIAL PARK,Park,,43.6891708145266,-79.5117074634001
EAST TORONTO ATHLETIC FIELD,Park,"Ball Diamond, Playground",43.6852968202218,-79.2991504699113
ROXBOROUGH PARKETTE,Park,,43.6812975249899,-79.3819178497764
ALEX MURRAY PARKETTE,Park,,43.6782737469446,-79.3827547579692
WOODLANDS PARK,Park,,43.8470530551239,-79.19693681528
GODSTONE PARK,Park,"Outdoor Fitness Equipment, Outdoor Ping Pong/Table Tennis, Playground, Sports Field",43.7844881292785,-79.3481163366767
FESTIVAL PARK,Park,,43.7885841749236,-79.4593900900522
WEST ROUGE PARK,Park,"Playground, Sports Field, Tennis Court",43.7915901875863,-79.1254637345302
DONALDA PARK,Park,Outdoor Fitness Equipment,43.7903638067895,-79.2838292404843
BROOKS ROAD PARK,Park,Playground,43.791563107545,-79.2066271838061
SNIDER PARKETTE,Park,"Outdoor Fitness Equipment, Outdoor Ping Pong/Table Tennis, Playground",43.7165281141485,-79.4009646076474
BRANDON AVENUE PARKETTE,Park,,43.6705678156069,-79.4404259877006
GOLDHAWK PARK,Park,"Ball Diamond, Basketball Court, Playground, Sports Field",43.8232306968931,-79.2796712289286
AUDRELANE PARK,Park,"Outdoor Fitness Equipment, Playground, Sports Field",43.8224368225821,-79.2887351543544
HOPTREE PARK,Park,,43.8224116292847,-79.2201526741987
CASWELL PARK,Park,Playground,43.7963083384364,-79.4023920558479
CHARTLAND PARK,Park,Playground,43.7989211628499,-79.2801763550765
CUMMER PARK,Park,"Ball Diamond, Basketball Court, Pickleball Court, Playground, Skateboarding, Tennis Court",43.7996349160362,-79.3718071438594
CY TOWNSEND PARK,Park,Playground,43.6893995017415,-79.4352780072927
ST. ALBAN'S SQUARE,Park,,43.6686030879348,-79.4105230715069
MAPLE LEAF FOREVER PARK,Park,Playground,43.6630188811142,-79.3278557015274
IVAN FORREST GARDENS,Park,Picnic Site,43.6722458638538,-79.2926936683765
GORD AND IRENE RISK PARK,Park,Playground,43.7473668614658,-79.567036692812
