Name,Latitude,Longitude
John Garland Pharmacy & Walkin Clinic,43.7330378,-79.5889027
Shoppers Drug Mart,43.6777039,-79.3895544
Rexall,43.6433455,-79.4224754
Green Medical Pharmacy,43.6741304,-79.4594886
Parkdale Pharmacy,43.6367837,-79.4370076
United Drug Mart,43.647665,-79.4202532
Guardian,43.6494719,-79.4219182
PharmaChoice,43.6346464,-79.562472
Markland Woods Pharmacy,43.6309011,-79.5758488
Cosmo Pharmacy,43.6462414,-79.5154662
Meds,43.6484278,-79.5072017
Drugtown Pharmacy,43.6922451,-79.5318827
Cloverdale Pharmacy,43.6323024,-79.5521098
La Rose Pharmacy,43.6856004,-79.5237409
Metro Drugs,43.6822729,-79.5104264
Westown Pharmacy,43.6970474,-79.5440998
Westway Pharmacy,43.6890805,-79.542334
Sunnyside Medical Pharmacy,43.6398148,-79.4462786
B&A Medical Pharmacy,43.639347,-79.4461271
Bloor-Dundas Pharmacy,43.6559257,-79.4525161
Datu's Pharmacy,43.654383,-79.4517465
Procare Pharmacy,43.7162625,-79.5538096
PharmaChoice,43.721206,-79.5999572
I.D.A.,43.7234815,-79.5598478
PharmaChoice,43.7289257,-79.5737522
Rexdale Pharmacy,43.741936,-79.591644
Grace Pharmacy,43.7505967,-79.5861478
Kipling Medical Pharmacy,43.7507629,-79.5842109
Shih Pharmacy,43.7567857,-79.5893594
Westmore Pharmacy,43.7350675,-79.60233
Total Health Pharmacy,43.7352684,-79.6057335
Ossington Medical Pharmacy,43.6625475,-79.4237464
Shoppers Drug Mart,43.66149,-79.4285459
Guardian,43.6616564,-79.4276896
I.D.A.,43.6605271,-79.4327636
Central Weston Pharmacy,43.7023913,-79.5233832
Total Health Pharmacy,43.7014397,-79.5214787
Associated Pharmacists,43.7011757,-79.5173473
Guardian,43.700366,-79.5174344
River Hill Pharmacy,43.6997951,-79.5184434
Mednow.ca,43.6556336,-79.4564275
I.D.A.,43.6890501,-79.4958161
Pharmasave,43.6876996,-79.4909735
Bloor Street Pharmacy,43.6622783,-79.4237018
Shoppers Drug Mart,43.6666823,-79.4474682
Weston Care Pharmacy,43.7384219,-79.5399796
Finch Weston Pharmacy,43.7514593,-79.5431609
Sherbourne Pharmacy & Medical Clinic,43.7527999,-79.5406622
Raxlan Pharmacy,43.6571882,-79.4032597
Main Drug Mart,43.7497691,-79.5499658
St. Joseph Pharmacy,43.7563403,-79.5695087
Humber Summit Pharmacy,43.7579027,-79.5706153
Jane Wilson Pharmacy,43.7192126,-79.5075559
The Pharmacy Network,43.6990544,-79.5024908
Guardian,43.677541,-79.4957255
Jane Park Pharmacy,43.6771889,-79.4945704
Action Pharmacy,43.6492885,-79.4837082
Pharmatrust,43.7386511,-79.5120747
Sav-On Drug Mart,43.7398557,-79.5143128
Homa Pharmacy,43.7413024,-79.5141777
Pharmasave,43.6442146,-79.4030636
Jane Centre Pharmacy,43.7483342,-79.515907
Super Care Pharmacy,43.7518681,-79.5154072
Rexall,43.7696221,-79.5211099
No Frills Pharmacy,43.6495769,-79.4408367
The Healing Source Pharmacy,43.6510813,-79.475897
Guardian,43.5982052,-79.5179178
Medicine Cabinet Pharmacy,43.6303328,-79.4764373
Peoples Drug Mart,43.6879284,-79.3021074
Danforth Main Pharmacy,43.688308,-79.3002651
The Pharmacy Lab,43.6619082,-79.3357641
Prince Edward Pharmacy,43.6480833,-79.5054777
I.D.A.,43.6196612,-79.5483424
Metro Pharmacy,43.6398915,-79.417693
Loblaw Pharmacy,43.6439443,-79.5596597
Pharmasave,43.6655465,-79.4675767
Sobeys Pharmacy,43.6305677,-79.4806042
Vina Pharmacy,43.6407729,-79.4363396
Guardian,43.6452287,-79.5222482
Medi-Place Pharmacy,43.6551315,-79.4149377
Jane Shoreham Pharmacy,43.7685166,-79.5207057
I.D.A.,43.7404264,-79.5121775
I.D.A.,43.7212506,-79.5115024
Beverly Hills Pharmacy,43.7193837,-79.5118626
Humber Pharmacy,43.727841,-79.4781272
Wilson Compounding Pharmacy,43.7266557,-79.4804194
Shoppers Drug Mart,43.7962643,-79.4223893
Pharmasave,43.7307731,-79.467302
Nhatrang Drug Mart,43.7314854,-79.463959
Whole Health Pharmacy & Clinic,43.641357,-79.3997169
John & Jack Pharmacy,43.7138302,-79.4539004
Glen Park Pharmacy,43.7086175,-79.453998
Briarhill Pharmacy,43.7025054,-79.4530326
Guardian,43.6961525,-79.4488281
Vaughan Road Pharmacy,43.6875665,-79.4238769
Pharmasave,43.6525332,-79.4062657
St. George Drug Mart,43.6584108,-79.4083371
Bloom Pharmacy,43.6392399,-79.3997576
Shoppers Drug Mart,43.6401924,-79.4219751
Silverstone Pharmacy,43.7514149,-79.5998291
Albion Drug Store,43.7441103,-79.6045518
Shoppers Drug Mart,43.7761649,-79.2572582
Guardian,43.7435559,-79.2146648
Supercare Pharmacy,43.7439189,-79.2179057
Best Care Village Pharmacy,43.7429765,-79.22107
Sunrise Pharmacy,43.7455772,-79.2204511
Apothe,43.76749,-79.2287982
Remedy'sRx,43.7584331,-79.2337994
Pharmasave,43.7596926,-79.2270095
Golfdale Pharmacy,43.7625038,-79.2147551
Mercury Drugs,43.7596918,-79.2233048
PharmaChoice,43.7607905,-79.2226918
Pharmasave,43.7980445,-79.1485714
I.D.A.,43.637729,-79.4886817
Shoppers Drug Mart,43.6556729,-79.3804371
Shoppers Drug Mart,43.762232,-79.4102442
St. Mary Pharmacy,43.6596403,-79.3469612
Ash Medical Pharmacy,43.739278,-79.2382141
Pharmasave,43.6980641,-79.3963165
No Frills Pharmacy,43.6511779,-79.3662711
Total Health Pharmacy,43.6685657,-79.3380328
Vina Pharmacy,43.6687468,-79.3372352
One Eva Pharmacy,43.639279,-79.5621387
PharmaChoice,43.7776679,-79.415304
SanoMed Compounding Pharmacy and Medical Clinic,43.6650363,-79.3876855
Glengrove Pharmacy,43.7186694,-79.401139
Shoppers Drug Mart,43.6602426,-79.36135
Pharmasave,43.7639052,-79.4877951
Vitality Compounding Pharmacy,43.6804757,-79.2890598
Guardian,43.6806195,-79.2876041
Beech Medical Pharmacy,43.6801041,-79.2908697
Mina Drug Store,43.6886393,-79.269934
Pharmasave,43.6806256,-79.2847542
Murray Shore Pharmacy,43.729832,-79.4318706
Premier Pharmacy,43.7254037,-79.4309164
Main Drug Mart,43.7033595,-79.4772125
Total Health Pharmacy,43.7047181,-79.4920184
The Station Apothecary,43.7341724,-79.4476983
Medishop Pharmacy,43.7367418,-79.4359728
I.D.A.,43.7456362,-79.4873833
Four Winds Pharmacy,43.7628414,-79.4914002
I.D.A.,43.7523807,-79.4545157
Northview Pharmacy,43.7741947,-79.4423533
Old Park Pharmacy,43.7001311,-79.4303433
Drug Centre Pharmacy,43.6978921,-79.4391933
Guardian,43.6947328,-79.455579
Pharmasave,43.7035332,-79.4127682
Guardian,43.7048111,-79.4065477
Shoppers Drug Mart,43.6646553,-79.3868997
Main Drug Mart,43.6960531,-79.4880209
Clair Gardens Pharmacy,43.6768854,-79.4466043
Shoppers Drug Mart,43.6772773,-79.4450688
St. Clair Drug Mart,43.6774493,-79.4443522
Blue Sky Pharmacy,43.6779754,-79.4436666
Glenholme Pharmacy,43.6803117,-79.4331814
Christie Pharmacy,43.6814152,-79.4261821
Pharmacia Drugstore,43.6824376,-79.4208526
The Medicine Shoppe,43.6828334,-79.4188312
Charles Pharmacy,43.6827524,-79.4183395
Pharmasave,43.6841128,-79.4189141
Guardian,43.6863411,-79.4462123
Oakwood Pharmacy,43.686045,-79.4385198
Shoppers Drug Mart,43.7791783,-79.3646434
Rexall,43.7124572,-79.3776742
Guardian,43.796391,-79.2302732
Markham Corners Pharmacy,43.7926076,-79.2390493
Medix Drug Mart,43.7363638,-79.2520001
Eglinton-Danforth Pharmacy,43.7370294,-79.2444392
Lawrence-Victoria Park Pharmacy,43.7418355,-79.3088605
Guardian,43.7428262,-79.3080343
Main Drug Mart,43.7433296,-79.3022505
