Library_Name,Address,Latitude,Longitude
Daniel G. Hill (formely Jane/Dundas),"620 Jane Street, Toronto, ON, M6S 4A6",43.66548,-79.49145
Don Mills,"888 Lawrence Avenue East, Toronto, ON, M3C 1P6",43.73671,-79.34729
Downsview,"2793 Keele Street, Toronto, ON, M3M 2G3",43.72885,-79.48202
Deer Park,"40 St. Clair Avenue East, Toronto, ON, M4T 1M9",43.68863,-79.39242
Dawes Road,"416 Dawes Road, Toronto, ON, M4B 2E8",43.70169,-79.29696
Davenport,"1246 Shaw Street, Toronto, ON, M6G 3P1",43.67458,-79.42839
Dufferin/St. Clair,"1625 Dufferin Street, Toronto, ON, M6H 3L9",43.67701,-79.44241
Eatonville,"430 Burnhamthorpe Road, Toronto, ON, M9B 2B1",43.64616,-79.5591
Elmbrook Park,"2 Elmbrook Crescent, Toronto, ON, M9C 5B4",43.66014,-79.58391
Evelyn Gregory,"120 Trowell Avenue, Toronto, ON, M6M 1L7",43.68631,-79.47233
Ethennonnhawahstihnen' (formely Bayview) ,"100 Ethennonnhawahstihnen' Lane, Toronto, ON  M2K 3C9",43.76874,-79.37572
Eglinton Square,"Eglinton Square Shopping Centre, 1 Eglinton Square, Unit 126, Toronto, ON, M1L 2K1",43.72358,-79.30166
Forest Hill,"700 Eglinton Avenue West, Toronto, ON, M5N 1B9",43.70233,-79.42073
Fort York,"190 Fort York Boulevard, Toronto, ON M5V 0E7",43.63923,-79.40039
Flemingdon Park,"29 St. Dennis Drive, Toronto, ON, M3C 3J3",43.718,-79.33169
Fairview,"35 Fairview Mall Drive, Toronto, ON, M2J 4S4",43.77909,-79.34674
Gerrard/Ashdale,"1432 Gerrard Street East, Toronto, ON, M4L 1Z6",43.67245,-79.32204
Goldhawk Park,"295 Alton Towers Circle, Toronto, ON, M1V 4P1",43.82404,-79.27799
Guildwood,"Guildwood Plaza, 123 Guildwood Parkway, Toronto, ON, M1E 4V2",43.74704,-79.19954
Humber Bay,"200 Park Lawn Road, Toronto, ON, M8Y 3J1",43.63032,-79.49124
Highland Creek,"3550 Ellesmere Road, Toronto, ON, M1C 3Z2",43.79003,-79.17516
Hillcrest,"5801 Leslie Street, Toronto, ON, M2H 1J8",43.79707,-79.36904
High Park,"228 Roncesvalles Avenue, Toronto, ON, M6R 2L7",43.64513,-79.44887
Humber Summit,"2990 Islington Avenue, Toronto, ON, M9L 2K6",43.75906,-79.57161
Humberwood,"850 Humberwood Boulevard, Toronto, ON, M9W 7A6",43.72873,-79.61946
Jones,"118 Jones Avenue, Toronto, ON, M4M 2Z9",43.66598,-79.33451
Jane/Sheppard,"1906 Sheppard Avenue West, Toronto, ON, M3L 1Y7",43.73996,-79.5101
Junction Triangle (formely Perth/Dupont),"305 Campbell Avenue, Toronto, ON M6P 3V7",43.66566,-79.44964
Kennedy/Eglinton,"Liberty Square Plaza, 2380 Eglinton Avenue East, Toronto, ON, M1K 2P3",43.73221,-79.27044
Long Branch,"3500 Lake Shore Boulevard West, Toronto, ON, M8W 1N6",43.59529,-79.53142
Leaside,"165 McRae Drive, Toronto, ON, M4G 1S8",43.70641,-79.36761
Locke,"3083 Yonge Street, Toronto, ON, M4N 2K7",43.72488,-79.40176
Lillian H. Smith,"239 College Street, Toronto, ON, M5T 1R5",43.65798,-79.39839
Main Street,"137 Main Street, Toronto, ON, M4E 2V9",43.68341,-79.29946
Malvern,"30 Sewells Road, Toronto, ON, M1B 3G5",43.80824,-79.21624
Maria A. Shchuka,"1745 Eglinton Avenue W, Toronto, ON, M6E 2H4",43.69614,-79.44727
McGregor Park,"2219 Lawrence Avenue East, Toronto, ON, M1P 2P5",43.74794,-79.28086
Mount Dennis,"1123 Weston Road, Toronto, ON, M6N 3S3",43.68659,-79.48828
Mimico Centennial,"47 Station Road, Toronto, ON, M8V 2R1",43.61486,-79.49369
Mount Pleasant,"599 Mt. Pleasant Road, Toronto, ON, M4S 2M5",43.70396,-79.38819
Maryvale,"Parkway Mall, 85 Ellesmere Road, Unit 22, Toronto, ON, M1R 4B9",43.75719,-79.31158
Morningside,"4279 Lawrence Avenue East, Toronto, ON, M1E 2S8",43.76988,-79.1784
Northern District,"40 Orchard View Boulevard, Toronto, ON, M4R 1B9",43.70824,-79.39979
Northern Elms,"123B Rexdale Boulevard, Unit 5, Toronto, ON, M9W 1P1",43.71089,-79.56541
New Toronto,"110 Eleventh Street, Toronto, ON, M8V 3G5",43.59905,-79.50986
Oakwood Village Library and Arts Centre,"341 Oakwood Avenue, Toronto, ON, M6E 2W1",43.68656,-79.43826
Pape/Danforth,"701 Pape Avenue, Toronto, ON, M4K 3S6",43.67862,-79.34459
Parkdale,"1303 Queen Street West, Toronto, ON, M6K 1L6",43.64127,-79.43265
Parliament Street,"269 Gerrard Street East, Toronto, ON, M5A 2G3",43.66183,-79.36803
Palmerston,"560 Palmerston Avenue, Toronto, ON, M6G 2P7",43.66511,-79.41414
Port Union,"5450 Lawrence Avenue East, Toronto, ON, M1C 3B2",43.7795,-79.14024
Pleasant View,"575 Van Horne Avenue, Toronto, ON, M2J 4S8",43.78761,-79.33545
Queen/Saulter,"765 Queen Street East, Toronto, ON, M4M 1H3",43.65928,-79.3476
Riverdale,"370 Broadview Avenue, Toronto, ON, M4K 2M8",43.66571,-79.35309
Richview,"1806 Islington Avenue, Toronto, ON, M9P 3N3",43.68344,-79.54113
Runnymede,"2178 Bloor Street West, Toronto, ON, M6S 1M8",43.65188,-79.47388
Rexdale,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",43.72614,-79.57323
