price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft
335000.0,335000.0,335000.0,CONDO,CONDO,Moss Park,43.6597894,-79.3754391,2,0,1,350.0
349000.0,349000.0,349000.0,CONDO,CONDO,Moss Park,43.6574957,-79.3743712,2,0,1,350.0
388000.0,388000.0,388000.0,CONDO,CONDO,Moss Park,43.6597894,-79.3754391,2,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Bay Street Corridor,43.6548441,-79.3846797,2,0,1,350.0
398888.0,398888.0,398888.0,CONDO,CONDO,Regent Park,43.6614865,-79.3584054,1,0,1,550.0
349900.0,349900.0,349900.0,CONDO,CONDO,Niagara,43.6396262,-79.4157955,2,0,1,350.0
329900.0,329900.0,329900.0,CONDO,CONDO,Mount Pleasant West,43.7089649,-79.3929849,2,0,1,350.0
389000.0,389000.0,389000.0,CONDO,CONDO,Waterfront Communities C1,43.6490923,-79.3885042,2,0,1,350.0
385000.0,385000.0,385000.0,CONDO,CONDO,L Amoreaux,43.7957296,-79.3157268,2,1,2,1100.0
369990.0,369990.0,369990.0,CONDO,CONDO,Waterfront Communities C1,43.6466285,-79.4017026,2,0,1,350.0
398000.0,398000.0,398000.0,CONDO,CONDO,Clairlea Birchmount,43.7165398,-79.2845142,1,0,1,550.0
348000.0,348000.0,348000.0,CONDO,CONDO,Kingsview Village-The Westway,43.69603619999999,-79.5541212,2,0,1,850.0
399990.0,399990.0,399990.0,CONDO,CONDO,Bendale,43.7738719,-79.25782389999999,1,0,1,550.0
339900.0,339900.0,339900.0,CONDO,CONDO,Black Creek,43.7585259,-79.5151132,1,0,1,750.0
339000.0,339000.0,339000.0,CONDO,CONDO,Yorkdale-Glen Park,43.70675079999999,-79.46767690000001,2,0,1,650.0
399000.0,399000.0,399000.0,CONDO,CONDO,Forest Hill North,43.7045616,-79.4256344,2,0,1,550.0
399900.0,399900.0,399900.0,CONDO,CONDO,Elms Old Rexdale,43.721194,-79.5441255,2,0,1,1100.0
385000.0,385000.0,385000.0,CONDO,CONDO,South Parkdale,43.6404251,-79.4246524,1,0,1,350.0
398800.0,398800.0,398800.0,CONDO,CONDO,Moss Park,43.6544384,-79.3630252,1,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Kingsview Village The Westway,43.6959152,-79.5561577,2,0,1,1100.0
375000.0,375000.0,375000.0,CONDO,CONDO,Yonge St Clair,43.6890289,-79.4018729,1,0,1,750.0
443990.0,443990.0,443990.0,CONDO,CONDO,Trinity-Bellwoods,43.6497203,-79.4226071,1,0,1,350.0
