NAME,ADDRESS_FULL,BOARD_NAME,SCHOOL_TYPE_DESC,Latitude,Longitude
TOPCLIFF PUBLIC SCHOOL,65 Topcliff Ave,Toronto District School Board,English Public,43.7555851004459,-79.5106588918435
TORAH EMETH JEWISH CENTRE & EITZ CHAIM HEBREW SCHOOL,1 Viewmount Ave,,Private,43.7101242851214,-79.4283014767583
TORONTO CENTRAL ACADEMY SECONDARY SCHOOL,200 Sheppard Ave E,,Private,43.7638628672269,-79.4016622430921
TORONTO CHEDER BOYS SCHOOL ,475 Patricia Ave,,Private,43.7838105185277,-79.4444041191915
TORONTO DISTRICT SCHOOL BOARD - HEAD OFFICE,5050 Yonge St,Toronto District School Board,English Public,43.7670485971463,-79.4134194857238
TORONTO DISTRICT SCHOOL BOARD - OAKBURN CENTRE,15 Oakburn Cres,Toronto District School Board,English Public,43.7588747822517,-79.4028126311509
TORONTO DISTRICT SCHOOL BOARD - WEST EDUCATION OFFICE,1 Civic Centre Crt,Toronto District School Board,English Public,43.6425600317489,-79.5637107200638
TORONTO FRENCH MONTESSORI,38 Ellerslie Ave,,Private,43.7717273460889,-79.4160653164005
TORONTO FRENCH SCHOOL - JR LAWRENCE,296 Lawrence Ave E,,Private,43.7284022756173,-79.3850098991417
TORONTO FRENCH SCHOOL - JR MILDENHALL,101 Mildenhall Rd,,Private,43.7293105004379,-79.3865956366547
TORONTO FRENCH SCHOOL - SR LAWRENCE,318 Lawrence Ave E,,Private,43.7279642648155,-79.3832590176478
"TORONTO FRENCH SCHOOL, JARDIN D'EVEIL (CHILD CARE HOUSE) 416 484-6533",294 Lawrence Ave E,,Private,43.7285994645049,-79.385546791879
TORONTO HEURISTIC INTERNATIONAL ACADEMY,513 McNicoll Ave,,Private,43.8035958742046,-79.3388397960404
TORONTO INTERNATIONAL COLLEGE SECONDARY SCHOOL,3550 Victoria Park Ave,,Private,43.8054674297826,-79.3374151853102
TORONTO ISLAMIC ACADEMY SCHOOL,3334 Danforth Ave,,Private,43.6937302131784,-79.2781378251157
TORONTO METROPOLITAN UNIVERSITY - ENTR TO BUSINESS SCHOOL LOBBY,55 Dundas St W,,University,43.6557846079536,-79.3823440737634
TORONTO METROPOLITAN UNIVERSITY - SCHOOL OF IMAGE ARTS,122 Bond St,,University,43.6573781216217,-79.3791387851816
TORONTO METROPOLITAN UNIVERSITY - SCHOOL OF INTERIOR DESIGN,302 Church St,,University,43.6575154789184,-79.3778484712616
TORONTO METROPOLITAN UNIVERSITY - THEATRE SCHOOL,44 Gerrard St E,,University,43.6597954415023,-79.3797353125162
TORONTO OUEST SECONDARY SCHOOL,330 Lansdowne Ave,Conseil scolaire Viamonde,French Public,43.6523836303418,-79.4412354246502
TORONTO PREP SCHOOL,250 Davisville Ave,,Private,43.7006108373258,-79.3865171901038
"TORONTO SCHOOL OF THEOLOGY - U OF T, BLDG 434",47 Queen's Park Cres E,,University,43.6647310436946,-79.3906565999479
TORONTO STEM SCHOOL,285 Eglinton Ave E,,Private,43.7086045659586,-79.3881544931649
TOWN CENTRE LINC,1457 McCowan Rd,Toronto District School Board,English Public,43.7852202476163,-79.2560419864483
TRANSFIGURATION OF OUR LORD CATHOLIC ELEMENTARY SCHOOL,55 Ludstone Dr,Toronto Catholic District School Board,English Separate,43.6915212586818,-79.5628707286001
TREDWAY WOODSWORTH PUBLIC SCHOOL,112 Sedgemount Dr,Toronto District School Board,English Public,43.7650332154187,-79.2352659356635
TUMPANE PUBLIC SCHOOL,48 Tumpane St,Toronto District School Board,English Public,43.7265952806861,-79.5022550959971
TWENTIETH STREET JR SCHOOL ,3190 Lake Shore Blvd W,Toronto District School Board,English Public,43.5979771530563,-79.5199382429952
TYNDALE UNIVERSITY COLLEGE AND SEMINARY SCHOOL - BAYVIEW,3377 Bayview Ave,,Private,43.7971369281422,-79.3920806110003
UCHENNA ACADEMY,950 Dupont St,,Private,43.670105349333,-79.4320119500657
UM AL-QURA ISLAMIC SCHOOL,41 Metropolitan Rd,,Private,43.7674120525186,-79.2994230333588
UMC HIGH SCHOOL,425 McCowan Rd,,Private,43.7436098200853,-79.238941179054
UNIQUE CHINESE SCHOOL - MIDLAND CAMPUS,4271 Sheppard Ave E,,Private,43.7855293329724,-79.2756569937123
UNIQUE CHINESE SCHOOL & GRACEPOINT CHURCH,3143 Sheppard Ave E,,Private,43.7764963816495,-79.3160094489366
UNIVERSITY OF TORONTO SCHOOLS,371 Bloor St W,,Private,43.6665621935287,-79.4025052910091
