Name,Cuisine,Latitude,Longitude
K.C. Caribbean Take-Out,,43.6859401,-79.3472838
Westbank Restaurant & Bar,,43.7137573,-79.2719464
Eggsmart,breakfast,43.6711436,-79.376202
Gabby's,,43.6697144,-79.3759409
CC Lounge and Whiskey Bar,,43.647892,-79.3744397
Ceci Bar,,43.6471732,-79.3767732
Montana's,barbecue,43.687279,-79.5860534
Route 401 Diner,,43.7009864,-79.5624706
Lezzet 12 Shawarma,turkish,43.6957445,-79.4491979
Pizza Hut,pizza,43.7572163,-79.2347236
Sammy's Family Restaurant,,43.7535345,-79.2442293
Tacos El Asador,mexican,43.6637644,-79.4169172
Buk Chang Dong Soon Tofu,korean,43.6637464,-79.4169987
Kinton Ramen,ramen,43.6641535,-79.4163143
Korea House,korean,43.6641663,-79.4162447
Mapo Gamjatang,korean,43.6645374,-79.4145066
Korean Village Restaurant,korean,43.6645599,-79.4143924
Kimsoonrye Soonsal Chicken,korean,43.6646289,-79.4140629
Yupdduk,korean,43.6646941,-79.4137973
Namaste Indian Cuisine,indian,43.6647836,-79.4133681
Arisu,korean;sushi,43.6649547,-79.412604
The Greek Grill,,43.6935209,-79.3500867
Karahi Point,,43.7077422,-79.3442136
Jack Astor's,american,43.7345493,-79.3437159
Bar Mercurio,italian;pizza,43.6675661,-79.4003773
Masters,,43.6671544,-79.4023108
Faley Restaurant,chinese,43.7081819,-79.3437206
Harvest Noon Cafe,,43.6608398,-79.4003207
Sol Pizza,pizza,43.6659474,-79.3873456
Cheeky Chat Eatery,chinese;hong_kong_cafe,43.7880408,-79.3810577
Sun Star Chinese,chinese,43.7879823,-79.3811425
Ming Lou,chinese,43.7905909,-79.3660023
He He Long BBQ Takeout,chinese,43.7910098,-79.366856
Hot Spicy Spicy,chinese,43.7912263,-79.3674221
Jack Astor's,american,43.6709062,-79.3868618
La Barbacha/Roja’s Kitchen,,43.6386668,-79.4458602
Richtree Market Restaurants,,43.7473083,-79.3850726
Swiss Chalet,chicken,43.7530511,-79.3578159
Mr. Greek,greek,43.7542107,-79.3515564
Pizza Hut,pizza,43.7543348,-79.3514333
Kelly's Landing,,43.6449489,-79.382751
Dog Saloon,sports_bar,43.71941,-79.2498527
Milestones,bar_and_grill,43.6565847,-79.3805395
Cranberries Restaurant,,43.6679314,-79.3692009
Yonge Street Warehouse,burger;mexican,43.6575025,-79.381582
Congee Queen,,43.6583341,-79.3819365
Market Garden Food Emporium & Terrace,,43.6585506,-79.3825848
Swiss Chalet,chicken,43.671578,-79.46749
Peter Pan Bistro,local,43.6492193,-79.3934602
August 8,,43.7243024,-79.290798
Minerva Tiffins,indian,43.7233574,-79.2905004
Ginsky,,43.7250405,-79.2901715
Our Spot,breakfast,43.6841783,-79.3189908
Golden Griddle,,43.7677199,-79.473959
Mr. Greek,greek,43.7688531,-79.4691016
Golden Horseshoe Barbecue,barbecue,43.6715175,-79.421286
The Benue,nigerian,43.6754255,-79.4231429
Ki,japanese,43.6471898,-79.3793403
The Joneses,,43.6477376,-79.3770201
Sukho Thai,thai,43.6485652,-79.3746014
Hothouse Restaurant & Bar,italian,43.6488188,-79.3736883
The Corner Place,,43.6497545,-79.3713051
Bombay Palace Haute Indian Cuisine,indian,43.6511246,-79.3719662
Yeti Kitchen,,43.6537263,-79.3736904
Philthy Philly's,sandwich;american,43.656805,-79.3762556
Jack Astor's,american,43.6565979,-79.3804057
Spring Sushi,sushi,43.656542,-79.3804572
Armenian Bistro,,43.632219,-79.5437491
Swiss Chalet,chicken,43.632116,-79.5441656
Kiku,japanese,43.7544893,-79.3578227
St. Louis Bar & Grill,chicken,43.7545836,-79.3574262
St. Louis Bar & Grill,chicken,43.6403904,-79.3905411
Swiss Chalet,chicken,43.6391215,-79.3861027
Golden Egg Restaurant,,43.6391703,-79.3858573
Shoeless Joe's,grill,43.6387309,-79.3858117
Wild Wing,chicken,43.6394618,-79.3849709
Bairrada Churrasqueria Grill,portuguese;grill,43.6532897,-79.428705
The Lakeview Restaurant,diner,43.649575,-79.4203399
Stacked Pancake & Breakfast House,breakfast,43.7563319,-79.3141889
Tehranto Persian Cuisine,,43.7804896,-79.4154524
Boston Pizza,pizza,43.775702,-79.26277
Wimpy's Diner,diner,43.7159611,-79.2617629
Hakka Pavilion,,43.8064362,-79.2217293
Pizza Hut,pizza,43.7049095,-79.4928553
Swiss Chalet,chicken,43.6199641,-79.5249049
Pizza Hut,pizza,43.7068072,-79.2689615
Pita Lite,,43.7850263,-79.1870122
Asian Gourmet,chinese,43.7848869,-79.1867777
Pimienta Restaurant,,43.7234991,-79.3373157
Swiss Chalet,chicken,43.7734227,-79.3217333
Dang Smoke BBQ,barbecue,43.664569,-79.3255192
Fusilli Ristorante,italian,43.6570752,-79.3571503
Louf Toronto,middle_eastern,43.6775224,-79.4070307
Courtney's Places,,37.7981198,-95.9509133
W Burger Bar,burger,43.696877,-79.4636737
The Beaver Cafe,sandwich,43.6428562,-79.4264321
Legenda,mexican,43.65461,-79.4018801
Beach Hill Restaurant,,43.680264,-79.3115982
Vietnamese Delight,vietnamese,43.7943993,-79.353514
Grass Mountain Villa Seafood,,43.794685,-79.3532615
The Rec Room,,43.6410584,-79.3866048
Paramount Fine Foods,middle_eastern,43.7362962,-79.343917
Anejo,,43.7340702,-79.3455779
Joey,regional,43.734024,-79.344775
The Good Son,italian,43.7348027,-79.3444486
Congee Queen,,43.7359494,-79.3473182
