price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
999999.0,999999.0,999999.0,HOUSE,HOUSE,Greenwood Coxwell,43.6736731,-79.3245232,2,1,2,900.0,118.46,1809.27,288.87,241.63,449.81,380.91,295.52,1090.74,23,59,33,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
999800.0,999800.0,999800.0,HOUSE,HOUSE,South Riverdale,43.6703344,-79.3374048,5,1,3,1300.0,184.98,1449.51,285.27,537.26,144.65,177.06,173.39,1189.3,35,67,35,86,2502281,26022796,,70,70,South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,,17826097.0,South Riverdale
998800.0,998800.0,998800.0,HOUSE,HOUSE,Junction Area,43.6775681,-79.4742914,4,1,3,1300.0,365.32,1547.87,256.25,984.77,507.82,335.28,418.61,2702.32,19,55,31,67,2502300,26022815,,90,90,Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,,17825793.0,Junction Area
977000.0,977000.0,977000.0,HOUSE,HOUSE,Rouge E11,43.8057831,-79.1773493,6,2,3,2250.0,471.68,3557.16,254.16,1760.46,1776.78,683.79,217.66,10708.22,0,16,8,20,2502347,26022862,,143,143,West Rouge,West Rouge (143),Not an NIA or Emerging Neighbourhood,,17825041.0,West Rouge
1000000.0,1000000.0,1000000.0,HOUSE,HOUSE,Rexdale-Kipling,43.725295,-79.5620781,3,1,2,1300.0,272.05,2942.81,383.35,901.03,1249.18,269.78,1013.28,7113.64,6,23,18,151,2502216,26022731,,4,4,Rexdale-Kipling,Rexdale-Kipling (4),Not an NIA or Emerging Neighbourhood,,17827137.0,Rexdale-Kipling
989000.0,989000.0,989000.0,HOUSE,HOUSE,Junction Area,43.6667404,-79.4728959,2,0,2,900.0,591.27,695.02,196.0,643.05,383.79,178.92,320.74,1511.47,62,54,38,67,2502300,26022815,,90,90,Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,,17825793.0,Junction Area
1049000.0,1049000.0,1049000.0,HOUSE,HOUSE,Wychwood,43.6770687,-79.4286813,3,1,2,1300.0,175.27,1059.83,219.33,277.72,446.72,510.88,574.0,1391.04,59,71,37,64,2502303,26022818,,94,94,Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,,17825745.0,Wychwood
1078000.0,1078000.0,1078000.0,HOUSE,HOUSE,Lawrence Park North,43.7316111,-79.395509,2,0,1,1300.0,571.5,1999.68,407.0,901.38,677.84,714.22,812.25,809.75,17,30,23,54,2502313,26022828,,105,105,Lawrence Park North,Lawrence Park North (105),Not an NIA or Emerging Neighbourhood,,17825585.0,Lawrence Park North
1059000.0,1059000.0,1059000.0,HOUSE,HOUSE,South Riverdale,43.6669384,-79.334881,4,0,3,1750.0,203.43,1585.11,304.22,110.67,292.14,276.21,266.72,1583.86,51,65,31,86,2502281,26022796,,70,70,South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,,17826097.0,South Riverdale
1029900.0,1029900.0,1029900.0,HOUSE,HOUSE,Kensington Chinatown,43.7802911,-79.4213261,3,4,2,700.0,476.69,1581.66,139.5,1454.68,419.09,415.63,363.91,449.81,74,50,31,117,2502250,26022765,,36,36,Newtonbrook West,Newtonbrook West (36),Not an NIA or Emerging Neighbourhood,,17826593.0,Newtonbrook West
